O*NET-SOC Code	Reported Job Title	Shown in My Next Move
17-3021.00	Flight Test Instrument Technician	N
17-3021.00	Instrumentation Technician	Y
17-3021.00	Systems Test Technician	N
17-3021.00	Test Technician	Y
17-3022.00	Civil Designer	N
17-3022.00	Civil Engineering Assistant	N
17-3022.00	Civil Engineering Technician	Y
17-3022.00	Design Technician	N
17-3022.00	Engineer Technician	Y
17-3022.00	Engineering Assistant	Y
17-3022.00	Engineering Technician	Y
17-3022.00	Transportation Engineering Technician	N
17-3023.00	Communications Technologist	N
17-3023.00	Electrical Engineering Technician	N
17-3023.00	Electrical Technician	N
17-3023.00	Electronics Engineering Technician	Y
17-3023.00	Electronics Technician	N
17-3023.00	Engineering Technician (Engineering Tech)	Y
17-3023.00	Engineering Technologist	Y
17-3023.00	System Technologist	N
17-3023.00	Technologist	Y
17-3024.00	Automation Technician (Automation Tech)	N
17-3024.00	Electro-Mechanic	Y
17-3024.00	Electromechanical Assembler (EM Assembler)	N
17-3024.00	Electromechanical Technician (EM Technician)	Y
17-3024.00	Electronics Technician (Electronics Tech)	Y
17-3024.00	Mechanical Technician (Mechanical Tech)	Y
17-3024.00	Process Control Tech	N
17-3024.00	Product Test Specialist	N
17-3024.00	Test Engineering Technician (Test Engineering Tech)	N
17-3024.00	Test Technician (Test Tech)	N
17-3024.01	Automation Technician	Y
17-3024.01	Electrical and Instrumentation Technician (E and I Technician)	Y
17-3024.01	Instrument and Automation Technician	N
17-3024.01	Instrument Specialist	Y
17-3024.01	Instrument Technician	N
17-3024.01	Instrumentation and Controls Technician	N
17-3024.01	Instrumentation and Process Controls Technician	N
17-3024.01	Process Control Technician	Y
17-3024.01	Programmable Logic Controllers Technician	N
17-3025.00	Air Quality Instrument Specialist	Y
17-3025.00	Engineer Technician	N
17-3025.00	Environmental Engineering Assistant	N
17-3025.00	Environmental Engineering Technician	N
17-3025.00	Environmental Field Technician	Y
17-3025.00	Environmental Technician	Y
17-3025.00	Haz Tech (Hazardous Technician)	Y
17-3026.00	Business Process Analyst	N
17-3026.00	Engineering Technician	N
17-3026.00	Industrial Engineering Analyst	N
17-3026.00	Industrial Engineering Technician	Y
17-3026.00	Manufacturing Coordinator	N
17-3026.00	Manufacturing Technology Analyst	Y
17-3026.00	Quality Control Engineering Technician (QC Engineering Technician)	Y
17-3026.00	Quality Management Coordinator	N
17-3026.00	Quality Technician	Y
17-3026.00	Service Technician	N
17-3026.01	Engineering Technician	Y
17-3026.01	Laboratory Technician (Lab Technician)	N
17-3026.01	Nanofabrication Specialist	Y
17-3026.01	Process Engineering Technician	N
17-3026.01	Research Associate	Y
17-3026.01	Research Scientist	Y
17-3026.01	Research Specialist	N
17-3026.01	Research Technician	N
17-3026.01	Scientific Research Associate	N
17-3026.01	Technical Research Scientist	N
17-3027.00	Engineering Laboratory Technician (Engineering Lab Technician)	N
17-3027.00	Engineering Technical Analyst	N
17-3027.00	Engineering Technician (Engineering Tech)	Y
17-3027.00	Engineering Technologist	N
17-3027.00	Manufacturing Engineering Technician (Manufacturing Engineering Tech)	N
17-3027.00	Mechanical Designer	Y
17-3027.00	Mechanical Technician (Mechanical Tech)	Y
17-3027.00	Process Engineering Technician (Process Engineering Tech)	N
17-3027.00	Process Technician	N
17-3027.00	Research and Development Technician (R and D Tech)	Y
17-3027.01	Laboratory Technician (Lab Technician)	Y
17-3027.01	Research Technician	Y
17-3029.01	Industrial Radiographer	Y
17-3029.01	Non-Destructive Evaluation Technician (NDE Technician)	Y
17-3029.01	Non-Destructive Testing Specialist (NDT Specialist)	Y
17-3029.01	Non-Destructive Testing Technician (NDT Technician)	Y
17-3029.08	Fiber Optics Technician	Y
17-3029.08	Laser Technician	Y
17-3029.08	Optomechanical Technician	N
17-3029.08	Photonic Laboratory Technician (Photonic Lab Tech)	Y
17-3029.08	Photonics Technician	Y
17-3029.08	Ruling Technician	N
17-3031.00	Aerotriangulation Specialist	N
17-3031.00	Engineering Technician	Y
17-3031.00	Geospatial Analyst	N
17-3031.00	Mapping Editor	N
17-3031.00	Mapping Technician	Y
17-3031.00	Photogrammetric Compilation Specialist	N
17-3031.00	Photogrammetric Technician	Y
17-3031.00	Stereoplotter Operator	N
17-3031.00	Survey Technician	Y
17-3031.00	Tax Map Technician	N
19-1011.00	Animal Nutrition Consultant	N
19-1011.00	Animal Nutritionist	Y
19-1011.00	Animal Scientist	Y
19-1011.00	Beef Cattle Nutritionist	Y
19-1011.00	Beef Cattle Specialist	N
19-1011.00	Companion Animal Nutritionist	N
19-1011.00	Dairy Nutrition Consultant	N
19-1011.00	Dairy Research Nutritionist	N
19-1011.00	Research Scientist	Y
19-1011.00	Scientist	N
19-1012.00	Food and Drug Research Scientist	N
19-1012.00	Food Chemist	N
19-1012.00	Food Engineer	N
19-1012.00	Food Scientist	Y
19-1012.00	Food Technologist	Y
19-1012.00	Formulator	N
19-1012.00	Product Development Scientist	N
19-1012.00	Research Chef	N
19-1012.00	Research Food Technologist	Y
19-1012.00	Research Scientist	Y
19-1013.00	Agronomist	Y
19-1013.00	Arboriculture Researcher	N
19-1013.00	Crop Nutrition Scientist	N
19-1013.00	Forage Physiologist	N
19-1013.00	Horticulture Specialist	N
19-1013.00	Plant Physiologist	N
19-1013.00	Plant Research Geneticist	N
19-1013.00	Research Scientist	Y
19-1013.00	Research Soil Scientist	Y
19-1013.00	Scientist	Y
19-1021.00	Analytical Research Chemist	Y
19-1021.00	Biochemist	Y
19-1021.00	Biophysics Researcher	Y
19-1021.00	Scientist	Y
19-1022.00	Bacteriologist	Y
19-1022.00	Clinical Laboratory Scientist	N
19-1022.00	Clinical Microbiologist	N
19-1022.00	Microbiological Analyst	Y
19-1022.00	Microbiologist	Y
19-1022.00	Quality Control Microbiologist (QC Microbiologist)	Y
19-1023.00	Aquatic Biologist	N
19-1023.00	Conservation Resources Management Biologist	N
19-1023.00	Fish and Wildlife Biologist	Y
19-1023.00	Fisheries Biologist	Y
19-1023.00	Fisheries Management Biologist	N
19-1023.00	Habitat Biologist	N
19-1023.00	Migratory Game Bird Biologist	N
19-1023.00	Wildlife Biologist	Y
19-1023.00	Zoologist	Y
19-1029.01	Bioinformaticist	Y
19-1029.01	Bioinformatics Scientist	Y
19-1029.01	Research Associate	N
19-1029.01	Research Scientist	Y
19-1029.01	Scientific Database Curator	N
19-1029.01	Scientist	Y
19-1029.02	Molecular Biologist	Y
19-1029.02	Research Scientist	Y
19-1029.03	Cardiovascular Geneticist	Y
19-1029.03	Medical Geneticist	Y
19-1029.03	Research Scientist	Y
19-1029.03	Scientist	Y
19-1029.04	Aquatic Biologist	N
19-1029.04	Aquatic Scientist	N
19-1029.04	Biological Scientist	N
19-1029.04	Biologist	Y
19-1029.04	Botanist	N
19-1029.04	Horticulturist	N
19-1029.04	Marine Biologist	N
19-1029.04	Research Biologist	Y
19-1029.04	Research Scientist	Y
19-1029.04	Scientist	Y
19-1031.00	Conservationist	Y
19-1031.00	Environmental Analyst	N
19-1031.00	Environmental Quality Scientist	N
19-1031.00	Erosion Control Specialist	N
19-1031.00	Land Reclamation Specialist	N
19-1031.00	Land Resource Specialist	Y
19-1031.00	Research Soil Scientist	Y
19-1031.00	Resource Conservation Specialist	N
19-1031.00	Resource Conservationist	Y
19-1031.00	Soil Conservationist	N
19-1031.02	Conservationist	N
19-1031.02	Land Management Supervisor	N
19-1031.02	Natural Resource Manager	N
19-1031.02	Natural Resource Specialist	Y
19-1031.02	Range Management Specialist	N
19-1031.02	Range Technician	Y
19-1031.02	Rangeland Management Specialist	Y
19-1031.02	Rangeland Technician	N
19-1031.02	Refuge Manager	N
19-1031.02	Resource Manager	Y
19-1031.03	Environmental Education Specialist	Y
19-1031.03	Environmental Educator	N
19-1031.03	Interpretive Naturalist	N
19-1031.03	Naturalist	Y
19-1031.03	Park Activities Coordinator	N
19-1031.03	Park Interpretive Specialist	N
19-1031.03	Park Naturalist	Y
19-1031.03	Park Ranger	Y
19-1031.03	Program Production Specialist	N
19-1032.00	Area Forester	Y
19-1032.00	Environmental Protection Forester	N
19-1032.00	Fire Prevention Forester	N
19-1032.00	Forest Practices Field Coordinator	Y
19-1032.00	Forester	Y
19-1032.00	Regional Forester	N
19-1032.00	Resource Forester	N
19-1032.00	Silviculturist	Y
19-1032.00	Unit Forester	N
19-1032.00	Urban Forester	N
19-1041.00	Chronic Disease Epidemiologist	N
19-1041.00	Communicable Disease Specialist	N
19-1041.00	Environmental Epidemiologist	N
19-1041.00	Epidemiologist	Y
19-1041.00	Epidemiology Investigator	N
19-1041.00	Infection Control Practitioner (ICP)	Y
19-1041.00	Nurse Epidemiologist	Y
19-1041.00	Public Health Epidemiologist	N
19-1041.00	Research Epidemiologist	Y
19-1041.00	State Epidemiologist	N
19-1042.00	Clinical Laboratory Scientist (Clinical Lab Scientist)	N
19-1042.00	Clinical Pharmacologist	N
19-1042.00	Clinical Research Scientist	Y
19-1042.00	Medical Researcher	N
19-1042.00	Physician Scientist	N
19-1042.00	Research Scientist	Y
19-1042.00	Researcher	N
19-1042.00	Scientist	Y
19-1042.00	Study Director	Y
19-1042.00	Toxicologist	N
19-2011.00	Astronomer	Y
19-2011.00	Astrophysicist	Y
19-2011.00	Data Scientist	N
19-2011.00	Research Scientist	Y
19-2011.00	Scientist	Y
19-2012.00	Biophysics Scientist	N
19-2012.00	Health Physicist	Y
19-2012.00	Medical Physicist	N
19-2012.00	Physicist	Y
19-2012.00	Research Consultant	N
19-2012.00	Research Physicist	N
19-2012.00	Research Scientist	Y
19-2012.00	Scientist	Y
19-2021.00	Broadcast Meteorologist	N
19-2021.00	Forecaster	Y
19-2021.00	Forensic Meteorologist	N
19-2021.00	General Forecaster	Y
19-2021.00	Hydrometeorological Technician	N
19-2021.00	Meteorologist	Y
19-2021.00	Research Meteorologist	N
19-2021.00	Space Weather Forecaster	N
19-2021.00	Warning Coordination Meteorologist	Y
19-2021.00	Weather Forecaster	N
19-2031.00	Air Quality Chemist	N
19-2031.00	Analytical Chemist	Y
19-2031.00	Chemical Laboratory Scientist	N
19-2031.00	Chemist	Y
19-2031.00	Forensic Chemist	N
19-2031.00	Forensic Scientist	Y
19-2031.00	Quality Control Chemist (QC Chemist)	N
19-2031.00	Research Chemist	Y
19-2031.00	Scientist	N
19-2032.00	Materials Scientist	Y
19-2032.00	Micro Electrical/Mechanical Systems Device Scientist (MEMS Device Scientist)	N
19-2032.00	Polymer Materials Consultant	Y
19-2032.00	Research and Development Scientist (R and D Scientist)	N
19-2032.00	Research Scientist	Y
19-2032.00	Scientist	Y
19-2041.00	Environmental Analyst	N
19-2041.00	Environmental Health and Safety Specialist	N
19-2041.00	Environmental Programs Specialist	Y
19-2041.00	Environmental Protection Specialist	Y
19-2041.00	Environmental Scientist	Y
19-2041.00	Environmental Specialist	Y
19-2041.00	Hazardous Substances Scientist	N
19-2041.00	Registered Environmental Health Specialist (REHS)	N
19-2041.00	Research Environmental Scientist	N
19-2041.01	Climate Advisor	N
19-2041.01	Climate Analyst	Y
19-2041.01	Climate and Energy Program Associate	Y
19-2041.01	Climate Economist	N
19-2041.01	Environmental Policy Analyst	Y
19-2041.01	Policy Analyst	Y
19-2041.01	Policy Associate	N
19-2041.01	Policy Research Associate	N
19-2041.01	Regional Science Advisor	N
19-2041.02	Coastal and Estuary Specialist	Y
19-2041.02	Fisheries Habitat Restoration Specialist	N
19-2041.02	Habitat Restoration Specialist	Y
19-2041.02	Marine Habitat Resources Specialist	Y
19-2041.02	Restoration Ecologist	Y
19-2041.02	Restoration Specialist	N
19-2041.02	Watershed Coordinator	N
19-2041.03	Ecologist	Y
19-2041.03	Environmental Consultant	Y
19-2041.03	Environmental Protection Agency Counselor	Y
19-2041.03	Research Scientist	Y
19-2041.03	Researcher	N
19-2042.00	Engineering Geologist	N
19-2042.00	Environmental Protection Geologist	N
19-2042.00	Exploration Geologist	N
19-2042.00	Geological Specialist	N
19-2042.00	Geologist	Y
19-2042.00	Geophysicist	Y
19-2042.00	Geoscientist	Y
19-2042.00	Hydrogeologist	N
19-2042.00	Mine Geologist	N
19-2042.00	Project Geologist	Y
19-2043.00	Groundwater Consultant	Y
19-2043.00	Hydrogeologist	Y
19-2043.00	Hydrologist	Y
19-2043.00	Physical Scientist	N
19-2043.00	Research Hydrologist	Y
19-2043.00	Scientist	N
19-2043.00	Source Water Protection Specialist	N
19-2099.01	Data Analytics Scientist	N
19-2099.01	Geospatial Intelligence Analyst	Y
19-2099.01	Remote Sensing Analyst	Y
19-2099.01	Remote Sensing Scientist	N
19-2099.01	Research Scientist	N
19-2099.01	Scientist	Y
19-2099.01	Sensor Specialist	Y
19-3011.00	Economic Analyst	Y
19-3011.00	Economic Consultant	Y
19-3011.00	Economic Development Specialist	N
19-3011.00	Economist	Y
19-3011.00	Forensic Economist	N
19-3011.00	Project Economist	N
19-3011.00	Research Analyst	N
19-3011.00	Research Associate	Y
19-3011.00	Revenue Research Analyst	N
19-3011.00	Tax Economist	N
19-3011.01	Economist	Y
19-3011.01	Environmental Economist	Y
19-3011.01	Natural Resource Economist	Y
19-3011.01	Research Economist	N
19-3011.01	Resource Economist	Y
19-3022.00	Data Analyst	Y
19-3022.00	Field Interviewer	Y
19-3022.00	Market Survey Representative	N
19-3022.00	Methodologist	N
19-3022.00	Public Opinion Analyst	N
19-3022.00	Research Associate	Y
19-3022.00	Research Fellow	Y
19-3022.00	Research Interviewer	N
19-3022.00	Survey Research Consultant	N
19-3022.00	Telephone Interviewer	N
19-3032.00	Consulting Psychologist	N
19-3032.00	Industrial Psychologist	Y
19-3032.00	Industrial/Organizational Psychologist (I/O Psychologist)	Y
19-3032.00	Management Consultant	N
19-3032.00	Organizational Consultant	N
19-3032.00	Organizational Development Consultant (OD Consultant)	N
19-3032.00	Organizational Psychologist	Y
19-3032.00	Research Scientist	Y
19-3033.00	Applied Behavior Science Specialist (ABSS)	N
19-3033.00	Clinical Counselor	N
19-3033.00	Clinical Psychologist	Y
19-3033.00	Counseling Psychologist	Y
19-3033.00	Licensed Clinical Psychologist	N
19-3033.00	Licensed Professional Counselor (LPC)	N
19-3033.00	Licensed Psychologist	N
19-3033.00	Psychologist	Y
19-3033.00	Psychotherapist	Y
19-3033.00	Therapist	N
19-3034.00	Autism Consultant	N
19-3034.00	Bilingual School Psychologist	Y
19-3034.00	Challenging Behavior Consultant	N
19-3034.00	Consulting Psychologist	Y
19-3034.00	Early Intervention School Psychologist	N
19-3034.00	Educational Diagnostician	N
19-3034.00	Learning Consultant	N
19-3034.00	Psychologist	Y
19-3034.00	School Psychologist	Y
19-3034.00	School Psychometrist	N
19-3039.02	Aviation Neuropsychologist	N
19-3039.02	Neuropsychologist	Y
19-3039.02	Neuropsychology Medical Consultant	Y
19-3039.02	Pediatric Neuropsychologist	Y
19-3039.02	Staff Psychologist	Y
19-3039.03	Aviation Neuropsychologist	N
19-3039.03	Clinical Neuropsychologist	Y
19-3039.03	Neuropsychologist	Y
19-3039.03	Neuropsychology Medical Consultant	N
19-3039.03	Pediatric Neuropsychologist	Y
19-3039.03	Staff Psychologist	Y
19-3041.00	Research Associate	Y
19-3041.00	Research Coordinator	N
19-3041.00	Research Scientist	Y
19-3041.00	Research Specialist	Y
19-3041.00	Social Scientist	Y
19-3041.00	Sociologist	N
19-3051.00	City Planner	N
19-3051.00	Community Development Planner	Y
19-3051.00	Community Planner	N
19-3051.00	Development Technician	N
19-3051.00	Housing Development Specialist	N
19-3051.00	Neighborhood Planner	N
19-3051.00	Planner	Y
19-3051.00	Planning Consultant	Y
19-3051.00	Planning Technician	Y
19-3051.00	Regional Planner	N
19-3091.00	American Indian Policy Specialist	N
19-3091.00	Applied Anthropologist	N
19-3091.00	Applied Cultural Anthropologist	Y
19-3091.00	Archaeologist	Y
19-3091.00	Forensic Anthropologist	Y
19-3091.00	Historical Archaeologist	N
19-3091.00	Research Anthropologist	N
19-3091.00	Research Archaeologist	N
19-3091.00	Researcher	Y
19-3092.00	Earth Observations Scientist	Y
19-3092.00	Geographer	Y
19-3092.00	GIS Geographer (Geographic Information Systems Geographer)	Y
19-3092.00	GIS Physical Scientist (Geographic Information Systems Physical Scientist)	N
19-3092.00	Scientist	Y
19-3093.00	County Historian	N
19-3093.00	County Records Management Officer (County RMO)	N
19-3093.00	Historian	Y
19-3093.00	Historic Interpreter	N
19-3093.00	Historic Sites Registrar	Y
19-3093.00	Historical Interpreter	N
19-3093.00	Research Associate	Y
19-3093.00	Researcher	Y
19-3099.01	Planner	Y
19-3099.01	Transportation Analyst	Y
19-3099.01	Transportation Planner	Y
19-4012.00	Agricultural Research Technician	Y
19-4012.00	Agricultural Research Technologist	N
19-4012.00	Agricultural Technician	N
19-4012.00	Laboratory Technician (Lab Tech)	Y
19-4012.00	Research Assistant	N
19-4012.00	Research Associate	Y
19-4012.00	Research Specialist	N
19-4012.00	Research Technician	N
19-4012.00	Seed Analyst	Y
19-4012.01	Crop Specialist	Y
19-4012.01	Independent Crop Consultant	Y
19-4012.01	Nutrient Management Specialist	N
19-4012.01	Precision Agriculture Specialist (Precision Ag Specialist)	Y
19-4012.01	Precision Farming Coordinator	Y
19-4012.01	Soil Fertility Specialist	N
19-4013.00	Central Lab Technician (CLT)	Y
19-4013.00	Food Science Technician	N
19-4013.00	Laboratory Assistant (Lab Assistant)	N
19-4013.00	Quality Analyst	N
19-4013.00	Quality Assurance Analyst (QA Analyst)	Y
19-4013.00	Quality Control Technician (QC Technician)	Y
19-4013.00	Quality Technician	Y
19-4021.00	Biological Science Laboratory Technician (Biological Science Lab Tech)	N
19-4021.00	Biological Science Technician	N
19-4021.00	Biological Technician	Y
19-4021.00	Laboratory Technician	Y
19-4021.00	Marine Fisheries Technician	N
19-4021.00	Research Assistant	N
19-4021.00	Research Associate	Y
19-4021.00	Research Specialist	N
19-4021.00	Research Technician	Y
19-4021.00	Wildlife Biology Technician	N
19-4031.00	Analytical Laboratory Technician (Analytical Lab Technician)	N
19-4031.00	Chemical Analyst	N
19-4031.00	Chemical Technician	Y
19-4031.00	Laboratory Analyst (Lab Analyst)	Y
19-4031.00	Laboratory Technician (Lab Tech)	Y
19-4031.00	Laboratory Tester (Lab Tester)	N
19-4031.00	Organic Preparation Analyst (Organic Prep Analyst)	N
19-4031.00	Quality Control Laboratory Technician (QC Lab Tech)	N
19-4031.00	Quality Control Technician (QC Tech)	Y
19-4031.00	Research Technician	N
19-4042.00	Environmental Technician	Y
19-4042.00	Laboratory Technician	Y
19-4042.00	Public Health Sanitarian	Y
19-4042.00	Sanitarian	Y
19-4042.00	Water Quality Analyst	N
19-4042.00	Water Quality Specialist	N
19-4043.00	Core Inspector	N
19-4043.00	Environmental Field Services Technician	N
19-4043.00	Environmental Sampling Technician	N
19-4043.00	Geological E-Logger	N
19-4043.00	Geological Technician	Y
19-4043.00	Geoscience Technician	N
19-4043.00	Geotechnician	Y
19-4043.00	Materials Technician	Y
19-4043.00	Physical Science Technician	Y
19-4043.00	Soils Technician	N
19-4051.00	Auxiliary Operator	N
19-4051.00	Equipment Operator	N
19-4051.00	Licensed Nuclear Operator	Y
19-4051.00	Non-Licensed Nuclear Equipment Operator (NLO)	N
19-4051.00	Non-Licensed Nuclear Plant Operator (NLO)	N
19-4051.00	Nuclear Auxiliary Operator	Y
19-4051.00	Nuclear Equipment Operator (NEO)	Y
19-4051.00	Nuclear Plant Equipment Operator (NAPEO)	N
19-4051.00	Operations Technician	Y
19-4051.00	Systems Operator	N
19-4051.02	Health Physics Technician (HP Tech)	Y
19-4051.02	Nuclear Chemistry Technician	N
19-4051.02	Radiation Control Technician (Radcon Technician)	N
19-4051.02	Radiation Protection Specialist (RP Specialist)	Y
19-4051.02	Radiation Protection Technician (RPT)	Y
19-4051.02	Radiation Technician	N
19-4051.02	Radiochemical Technician	Y
19-4061.00	Clinical Research Assistant	N
19-4061.00	Graduate Assistant	N
19-4061.00	Graduate Research Assistant	Y
19-4061.00	Research Aide	N
19-4061.00	Research Assistant	Y
19-4061.00	Research Associate	Y
19-4061.00	Research Technician	N
19-4061.00	Social Research Assistant	Y
19-4071.00	Biological Science Aide	N
19-4071.00	Forest Technician	Y
19-4071.00	Forestry Aide	Y
19-4071.00	Forestry Technician	Y
19-4071.00	Resource Technician	Y
19-4071.00	Timber Appraiser	N
19-4092.00	Crime Laboratory Analyst	Y
19-4092.00	Crime Scene Analyst	N
19-4092.00	Crime Scene Technician (Crime Scene Tech)	Y
19-4092.00	CSI (Crime Scene Investigator)	Y
19-4092.00	Evidence Technician	N
19-4092.00	Forensic Science Examiner	N
19-4092.00	Forensic Scientist	Y
19-4092.00	Forensic Specialist	N
19-4092.00	Latent Fingerprint Examiner	N
19-4092.00	Latent Print Examiner	N
19-4099.01	Lab Analyst	N
19-4099.01	Lab Technician (Lab Tech)	Y
19-4099.01	Laboratory Analyst	N
19-4099.01	Microbiology Lab Analyst	N
19-4099.01	QA Auditor (Quality Assurance Auditor)	Y
19-4099.01	QA Lab Tech (Quality Assurance Lab Technician)	N
19-4099.01	QA Tech (Quality Assurance Technician)	Y
19-4099.01	Quality Control Analyst (QC Analyst)	N
19-4099.01	Quality Control Lab Technician (QC Lab Tech)	N
19-4099.01	Quality Control Technician (QC Tech)	Y
19-4099.03	Digital Cartographic Technician	Y
19-4099.03	Geospatial Extractor	Y
19-4099.03	Meteorologist Liaison	Y
19-4099.03	Research Associate	Y
19-5011.00	Certified Industrial Hygienist (CIH)	Y
19-5011.00	Chemical Hygiene Officer	N
19-5011.00	Environmental Health and Safety Officer	Y
19-5011.00	Environmental, Health, and Safety Officer (EHS Officer)	N
19-5011.00	Industrial Hygienist	Y
19-5011.00	Industrial Hygienist Consultant	N
19-5011.00	Safety Consultant	N
19-5011.00	Safety Management Consultant	N
19-5011.00	Safety Officer	N
19-5011.00	Safety Specialist	Y
19-5012.00	Advisory Industrial Hygienist	N
19-5012.00	Certified Industrial Hygienist (CIH)	Y
19-5012.00	Construction Safety Consultant	Y
19-5012.00	Health and Safety Technician	N
19-5012.00	Industrial Hygiene Consultant	Y
19-5012.00	Industrial Hygiene Engineer	N
19-5012.00	Industrial Hygienist	Y
19-5012.00	Safety Research Professional	N
21-1011.00	Addictions Counselor	Y
21-1011.00	Case Manager	N
21-1011.00	Certified Alcohol and Drug Counselor (ADAC)	N
21-1011.00	Chemical Dependency Counselor (CD Counselor)	Y
21-1011.00	Chemical Dependency Professional	N
21-1011.00	Clinical Counselor	N
21-1011.00	Counselor	Y
21-1011.00	Drug and Alcohol Treatment Specialist (DATS)	N
21-1011.00	Prevention Specialist	N
21-1011.00	Substance Abuse Counselor (SA Counselor)	Y
21-1012.00	Academic Advisor	Y
21-1012.00	Academic Counselor	N
21-1012.00	Admissions Counselor	N
21-1012.00	Career Counselor	Y
21-1012.00	College Counselor	N
21-1012.00	Guidance Counselor	Y
21-1012.00	School Adjustment Counselor	N
21-1012.00	School Counselor	Y
21-1012.00	Student Development Advisor	N
21-1012.00	Student Services Coordinator	N
21-1013.00	Clinical Therapist	Y
21-1013.00	Counselor	N
21-1013.00	Family Therapist	N
21-1013.00	Human Relations Counselor	N
21-1013.00	Licensed Marriage and Family Therapist (LMFT)	Y
21-1013.00	Licensed Professional Counselor (LPC)	N
21-1013.00	Marriage and Family Counselor	N
21-1013.00	Marriage and Family Therapist (MFT)	Y
21-1013.00	Outpatient Therapist	Y
21-1013.00	Play Therapist	N
21-1014.00	Behavior Analyst	N
21-1014.00	Behavior Support Specialist (BSS)	N
21-1014.00	Case Manager	N
21-1014.00	Clinician	Y
21-1014.00	Counselor	Y
21-1014.00	Licensed Professional Counselor (LPC)	N
21-1014.00	Mental Health Counselor	N
21-1014.00	Mental Health Program Specialist	N
21-1014.00	Mental Health Specialist	Y
21-1014.00	Mental Health Therapist	Y
21-1015.00	Employment Advisor	N
21-1015.00	Employment Services Case Manager	N
21-1015.00	Employment Specialist	Y
21-1015.00	Human Services Care Specialist	N
21-1015.00	Job Coach	Y
21-1015.00	Rehabilitation Counselor	Y
21-1015.00	Rehabilitation Specialist	N
21-1015.00	Vocational Case Manager	N
21-1015.00	Vocational Placement Specialist	N
21-1015.00	Vocational Rehabilitation Counselor (VRC)	Y
21-1021.00	Adoption Social Worker	N
21-1021.00	Case Manager	Y
21-1021.00	Case Worker	N
21-1021.00	Child Protective Services Social Worker (CPS Social Worker)	N
21-1021.00	Family Protection Specialist	Y
21-1021.00	Family Resource Coordinator	N
21-1021.00	Family Service Worker	Y
21-1021.00	Foster Care Social Worker	N
21-1021.00	School Social Worker	Y
21-1021.00	Youth Services Specialist	N
21-1022.00	Clinical Social Worker	Y
21-1022.00	Hospice Social Worker	Y
21-1022.00	LMSW (Licensed Master Social Worker)	N
21-1022.00	Medical Social Worker	Y
21-1022.00	Nephrology Social Worker	N
21-1022.00	Oncology Social Worker	N
21-1022.00	Psychosocial Coordinator	N
21-1022.00	Renal Social Worker	N
21-1022.00	Social Work Case Manager	N
21-1022.00	Social Worker	Y
21-1023.00	Case Manager	Y
21-1023.00	Clinical Social Worker	N
21-1023.00	Clinical Therapist	N
21-1023.00	Clinician	N
21-1023.00	Counselor	N
21-1023.00	Licensed Clinical Social Worker (LCSW)	N
21-1023.00	Mental Health Therapist	Y
21-1023.00	Social Worker	Y
21-1023.00	Substance Abuse Counselor	N
21-1023.00	Therapist	Y
21-1091.00	Certified Diabetes Educator	N
21-1091.00	Clinical Instructor	Y
21-1091.00	Community Health Consultant	N
21-1091.00	Education Coordinator	N
21-1091.00	Health Education Coordinator	N
21-1091.00	Health Education Specialist	Y
21-1091.00	Health Educator	Y
21-1091.00	Health Promotion Specialist	N
21-1091.00	Public Health Educator	Y
21-1091.00	Public Information Officer	N
21-1092.00	Adult Probation Officer	N
21-1092.00	Correctional Counselor	Y
21-1092.00	Deputy Probation Officer (DPO)	N
21-1092.00	Juvenile Probation Officer	Y
21-1092.00	Parole Agent	N
21-1092.00	Parole Officer (PO)	Y
21-1092.00	Probation Agent	N
21-1092.00	Probation and Parole Officer	N
21-1092.00	Probation Counselor	N
21-1092.00	Probation Officer	Y
21-1093.00	Addictions Counselor Assistant	N
21-1093.00	Advocate	Y
21-1093.00	Clinical Assistant	Y
21-1093.00	Residential Care Assistant	N
21-1093.00	Social Services Aide	N
21-1093.00	Social Services Assistant	N
21-1093.00	Social Work Assistant	N
21-1093.00	Social Work Associate	Y
21-1093.00	Social Worker Assistant	Y
21-1094.00	Apprise Counselor	N
21-1094.00	Community Health Outreach Worker	Y
21-1094.00	Community Health Program Coordinator	Y
21-1094.00	Community Health Program Representative (Community Health Program Rep)	N
21-1094.00	Community Health Promoter	Y
21-1094.00	Community Health Worker (CHW)	N
21-1094.00	Community Nutrition Educator	Y
21-1094.00	HIV CTS Specialist (Human Immunodeficiency Virus Counseling and Testing Services Specialist)	N
21-2011.00	Catholic Priest	N
21-2011.00	Children's Minister	N
21-2011.00	Confessor	N
21-2011.00	Congregational Care Pastor	N
21-2011.00	Minister	Y
21-2011.00	Missionary Coordinator	N
21-2011.00	Pastor	Y
21-2011.00	Priest	Y
21-2011.00	Rabbi	N
21-2011.00	Rector	Y
21-2021.00	Adult Ministries Director	N
21-2021.00	Children's Ministries Director	Y
21-2021.00	Christian Education Director	Y
21-2021.00	Religious Education Coordinator	N
21-2021.00	Religious Education Director	Y
21-2021.00	Senior Adults Director	N
21-2021.00	Student Ministries Director	N
21-2021.00	Women's Ministry Director	N
21-2021.00	Youth Director	Y
21-2021.00	Youth Ministry Director	N
23-1011.00	Attorney	Y
23-1011.00	Attorney at Law	Y
23-1011.00	Attorney General	Y
23-1011.00	City Attorney	N
23-1011.00	Counsel	N
23-1011.00	Deputy Attorney General	N
23-1011.00	General Counsel	N
23-1011.00	Lawyer	Y
